,Austria_HDD_no_pop_weights_1979_2019.dat,Belgium_HDD_no_pop_weights_1979_2019.dat,Bulgaria_HDD_no_pop_weights_1979_2019.dat,Croatia_HDD_no_pop_weights_1979_2019.dat,Czech_Republic_HDD_no_pop_weights_1979_2019.dat,Denmark_HDD_no_pop_weights_1979_2019.dat,Finland_HDD_no_pop_weights_1979_2019.dat,France_HDD_no_pop_weights_1979_2019.dat,Germany_HDD_no_pop_weights_1979_2019.dat,Greece_HDD_no_pop_weights_1979_2019.dat,Hungary_HDD_no_pop_weights_1979_2019.dat,Ireland_HDD_no_pop_weights_1979_2019.dat,Italy_HDD_no_pop_weights_1979_2019.dat,Latvia_HDD_no_pop_weights_1979_2019.dat,Lithuania_HDD_no_pop_weights_1979_2019.dat,Luxembourg_HDD_no_pop_weights_1979_2019.dat,Montenegro_HDD_no_pop_weights_1979_2019.dat,Netherlands_HDD_no_pop_weights_1979_2019.dat,Norway_HDD_no_pop_weights_1979_2019.dat,Poland_HDD_no_pop_weights_1979_2019.dat,Portugal_HDD_no_pop_weights_1979_2019.dat,Romania_HDD_no_pop_weights_1979_2019.dat,Slovakia_HDD_no_pop_weights_1979_2019.dat,Slovenia_HDD_no_pop_weights_1979_2019.dat,Spain_HDD_no_pop_weights_1979_2019.dat,Sweden_HDD_no_pop_weights_1979_2019.dat,Switzerland_HDD_no_pop_weights_1979_2019.dat,United_Kingdom_HDD_no_pop_weights_1979_2019.dat
2008-09-20,9.198850772830166,5.007413632177142,3.837922905213915,4.010612159480379,7.038153902954393,3.1263973174727777,8.301480900724929,2.3850949879124634,5.495291702604332,1.0596375534776659,5.248081182225338,1.2539312423516176,1.0932755659355333,6.823423101653821,6.649772997954477,6.254480236381653,7.954589292894011,4.65467434298928,9.41329601569031,5.8563922928670955,0.0,6.176493365339876,7.568968293747516,5.426136668437184,0.0,6.927039367315135,7.836543190089423,1.6968240543042583
2008-09-21,9.152717777090686,4.71083431212981,3.7346801960389833,4.272858920525907,6.849447695977526,3.2616635429441825,7.785988744445037,3.2954801958138304,5.028686705882841,0.8526522270143513,5.072079006570796,2.8627985565852523,1.9347548174495106,5.1363736530883735,4.971981010121455,6.0825052825803425,7.328237561219806,3.5555991209816895,8.926678563972885,5.934377269259365,0.0,5.395559910152972,7.383289542784981,5.450159588889129,0.0,7.082565202613438,9.971494143307527,2.7102328033387995
2008-09-22,9.073232688084582,3.4285416189211357,3.2021631822676344,4.222658289579453,6.847398049567358,3.7915265640648705,7.084456266240284,3.129512919289388,5.547499800169524,0.6514968833334489,4.2131766361594565,4.446378546240766,2.417283694626283,3.1186557700665674,3.6805469746536694,5.457591847599346,7.782917249883709,2.69563528099253,9.476334099126653,5.4343130163748885,0.0,4.761495817378924,6.638988274909778,6.030817843595981,0.0,6.875060206453833,10.127269394666623,3.7562069271132614
2008-09-23,8.504668669900648,3.8636607902960574,3.6371336637495766,3.2067640039125322,6.237959379541069,2.242706070210499,6.989433975808016,3.5445263566191123,5.260218064546489,0.0,3.575096276868086,4.924729867718021,2.677111842357757,5.380553892004039,4.220069026353034,5.338742786383463,6.669849306441039,2.4904289333529412,10.818470857755095,4.895911082086176,0.0,4.570277399651843,5.937400224673304,5.621486120600853,0.0,6.2273697537131945,9.9097620144716,4.268130044172853
2008-09-24,9.055783146566329,2.9717763294435233,2.7034475921850767,2.7087548976004125,6.9740415914883265,2.9166692540622083,7.827061817622075,3.510222146601528,4.476054607746901,0.0,3.167230370354684,4.642108032110755,2.196379570906954,6.758668225807202,6.432745542081424,4.599407447902024,6.006343342073491,2.193953199559161,11.779900206956537,4.994026947150747,0.0,3.5810682691463924,5.372544269697261,5.46987162041413,0.0,6.918209256874572,9.973069710017585,3.1563970185494057
2008-09-25,8.643505342029606,3.5307049910200394,3.0238953045082173,3.3650167320588142,6.131201072556081,3.9294460274398553,10.913085548645455,3.054699250844095,4.794756024131162,0.0,3.3813246778490775,3.1176132031150328,1.9886072672265769,6.740790490372586,6.406370640073611,4.473595675006422,6.242317203079223,3.238340157972285,12.786242837187753,4.771337734636603,0.0,4.419584234892559,5.76428279586877,5.811308333434935,0.4634938769198662,8.005839542401521,9.180747033812125,2.621952946429886
2008-09-26,8.86483178492098,4.062316077147761,4.542046688289753,3.9004083262024345,6.052098594847552,3.903736926524685,10.08128186059938,3.29469010929769,5.5459740143551866,0.0,3.3624722473079345,2.2529722475199385,2.390180537116535,6.101621201696847,5.840288347754665,5.057135308792056,6.215093360515079,3.9752224156211877,11.28330811619317,5.312443577407054,0.0,4.94614297370892,5.83380151438053,5.288384985339247,0.5943505672317144,7.212446581655623,8.615530290774046,3.0694765285040138
2008-09-27,8.414637638438833,4.297740250389303,5.05180781327855,3.253212839562199,5.637702235419866,2.0498552082726196,9.484035403304507,3.5090690955279698,5.650868193148947,0.28743051079874427,3.0693184159163422,3.1553838845795728,2.598362033503955,4.629438728982571,4.798318730892863,5.207618424229267,6.895977507608764,4.599231285292506,11.165110605300526,4.914665976950406,0.0,4.948356436581378,5.230937471323232,5.215129686090604,0.6920476660448429,7.325276276017114,9.679388825714518,3.6543698870660126
2008-09-28,8.858628733258293,4.378602956843606,4.282878590001115,3.3397554290322997,6.090959419601326,3.3300506480180836,7.980367118416083,3.6577865458166254,5.301295615450488,0.698110689803805,3.5591089744606617,4.60951214547355,2.8346199128724425,4.424724791681282,3.7680173295530803,5.353553641286069,6.792937000474444,3.9636814554484907,13.368160427776573,4.270396580378044,0.0,4.650075264682881,5.95225615609084,5.943306202128271,0.7752606906605326,8.300369438911607,9.346424339268626,5.402906482126134
2008-09-29,8.243529250451662,5.487059277665999,3.9012029386605835,4.137460535158173,5.6880416036073616,4.583890998818077,10.018711024389368,3.7970490961120955,5.248938701212326,1.1385419269950763,3.900841644397632,4.209429425222204,2.721136751232587,7.386856539944697,6.450992601902998,6.412650507488493,6.517233105922736,4.134798028893998,14.449214760761773,5.194128892506075,0.0,4.7249966450665895,5.737170345394128,6.8728304473151365,0.0,10.440355216540771,8.088615389717738,4.76304226848125
2008-09-30,6.524792173222382,4.789979818015697,3.215630486725516,3.085132017613878,5.133915900975886,4.77291687800248,12.62595143866349,3.732663777613215,5.648073316450601,0.3884441518225241,3.0038358842755812,3.001417025775188,2.1528395457845075,7.4379856457347735,6.625507168178416,7.0246849382063346,6.648361704591476,3.3891538257217935,15.533455299499332,5.1073255824867125,0.0,4.494697686881631,4.694247898670698,5.1448317878209195,0.20472801020093456,11.856728096519788,7.623540822246285,4.449964357195764
2008-10-01,5.492677592546311,3.219728872517827,1.7960061543364993,0.08489075149144654,3.9487901348189762,5.894500027634969,11.904276325635653,2.151790733798892,4.170457139031637,0.0,0.7600965101748312,5.801408008209547,0.3095700929302563,6.167249680732418,5.665407423418355,4.809781578890181,4.668266412155402,3.1779566321227914,15.987828474393657,3.5436434734316418,0.0,3.3932193528520376,3.9528957948639007,2.20179470376598,0.0,10.251790342953019,6.2634146504027015,5.6473305735373085
2008-10-02,5.956082337469397,6.591222528178479,0.07974038783102522,0.0,4.200805032987031,5.073570319316122,11.025934312527621,4.063962901790552,5.658150201808834,0.0,0.0,7.403423385622835,0.0,5.228593215206194,4.905008747514877,7.572676293509005,2.303057698638222,5.685517882855706,15.678932881261032,3.283032547292839,0.0,0.5437314301027332,2.895472944060936,2.1410935514758744,0.252312907804777,10.351898081507187,7.526273655029388,7.587622637223669
2008-10-03,9.929750720936868,8.516336149398288,0.0,0.0,7.154639524752804,4.971553571292226,12.071901898469761,7.001464959686874,7.946935703808966,0.0,0.4605609579494274,7.928714317797968,0.4272656276109785,5.597667587191804,5.865912258558112,9.652511303157027,2.6633266051627906,6.841697132931458,16.510358449787056,5.845879443909723,1.4031117008894807,0.0,4.194245560940168,3.714692845727912,2.6577213632709213,11.924448164032647,12.207344458797397,8.64314917601805
2008-10-04,11.953803219046286,7.3582818177324345,0.0,4.971522473264665,8.981454667990825,6.090231225204208,12.083818114004394,7.524066947416148,8.718158660065507,0.0,4.5669496138246135,4.184890644605039,3.715611063456196,6.510177460202179,6.746697541587615,8.50381689453367,4.374353077871534,6.353277794836911,17.803956289328625,7.490196097716758,0.7383709968591354,0.6407501517530054,7.247810825109639,8.03424485322343,3.6245733453301874,12.391315257408037,14.47994053057481,7.236920453396948
2008-10-05,11.33420744181513,4.8569676129440555,4.666429199941938,5.289753573477547,8.470559392188747,5.694036150362205,9.49082302421582,4.415743574221816,6.798441955599543,0.0,5.685688305441687,6.730108567097574,4.273237532044261,7.005512294341653,7.64991027108708,7.119879282469867,8.79558119771822,4.2386643856209485,16.695329380755336,7.531836678081363,0.0,5.569090766129088,8.165342040783237,8.468032601596867,1.6704718493450414,10.93463034504863,12.733223197126826,6.143004827854773
2008-10-06,6.934688052822144,2.6721268611507014,3.8629027586416047,2.8013900722328486,4.685390317010125,6.025782432144423,9.237218060508695,1.2923922735362439,3.946648185662493,0.7395587108843635,4.414541459087552,4.263653138053904,2.5286791220110167,6.905485017161043,7.098301885290155,2.8535576630010837,8.09059052868955,3.9735937300242288,14.92041558155576,5.418778996265459,0.0,6.499631879710401,6.353551755706674,5.299410825320294,0.15603604473253974,10.606354476850086,6.7340291597046615,6.338649529814992
2008-10-07,5.22350198461246,1.0155206652851572,1.1274570334233172,1.9575350994827314,3.975338889459188,5.714792983531426,10.065315162836228,0.5743133676825973,2.858876639414035,0.0,1.4516283056213855,3.9378474759853486,0.9802489218334376,9.177305968148914,8.416318463535022,2.1054507864274115,5.6133791049647215,1.4724094459603911,15.653879041254617,5.439080586782941,0.0,3.6896826594489323,3.444707503473108,3.7201758587504496,0.966136294657284,11.099653849404012,5.582515090101602,2.3260586270482975
2008-10-08,5.73721363242497,2.649821906927789,1.5662093892957074,1.4551801338603525,4.598867403431164,3.0289331203755356,12.953495452859201,2.840717277021474,2.672529804967164,0.0,1.4632623050456441,5.172475322052351,0.5224662777261244,10.098138819524294,9.537275143237547,3.3688686554619665,4.869583849145529,1.8717455158977057,13.31171708106041,5.602266644968559,0.5685253181042462,2.8560835529224597,3.45693551302592,3.4295761685560127,1.9120355321069518,11.985938973870748,5.571647500104854,4.846748981365513
2008-10-09,5.765403423583738,5.4219656280699,2.1367947081258407,0.61708898035684,4.281416122270908,3.510349039066165,13.6818984556727,3.9546278638483674,3.911968754539055,0.0,1.056730468242181,3.5260909112147782,0.17640550805903565,9.314318327098228,8.330701614475565,4.765944508126779,4.572045860935953,4.756105256794884,12.091892129985528,4.736059713801954,0.23131803264741713,2.7555666457202914,3.241871387709349,2.4415334054126063,2.9166307021293676,9.427866867959791,5.963854881474353,4.846163936017147
2008-10-10,5.137890085304141,4.862137753921301,2.4271982735311717,0.23449034493112997,4.1154898964546565,2.7696661869240504,10.690651782588041,2.838306344543861,4.543879382281197,0.0,1.253757839105015,1.2402451743055831,0.0,5.393411855438435,4.56215024201104,4.1123814413679725,4.489401943622699,4.294584611661186,12.426644675275366,5.113100266522171,0.0,3.3141815425062653,3.696989201685165,1.9751338150826125,0.0,9.252452903667956,5.778542763965122,2.030579828666241
2008-10-11,6.022111656960373,3.2156142274494304,2.476736214853114,1.2958163960428983,4.910163908612985,1.784273141475115,8.75887141927457,1.3484652015823908,3.680375062376603,0.0,2.193587309473628,3.5505218967834207,0.0,3.9180957486800168,3.5946873523187755,5.185166015407873,4.343367258277334,2.315165711267401,12.976703488375627,3.7788558196193627,0.0,3.524063271895205,4.191419837384332,3.3996104210511806,0.0,7.201414481145935,5.362967248664809,3.47554352904357
2008-10-12,5.725129993244778,2.0691810846375915,2.449473809035725,1.4650301490917368,5.11837629380017,3.2257708562861165,9.875460590074846,0.0,3.671931095105819,0.0,2.3162289032805425,5.109652787732982,0.23893424533144803,4.068185011906316,3.6847059846300585,3.998387883212402,4.2506628925369085,2.6293967266913523,14.950264609786993,3.6134351337868527,0.0,3.5591074889562275,4.543682687861352,3.5153516100976745,0.0,8.557087021538866,5.615137568156587,3.6824437330762834
2008-10-13,5.633287090122026,0.0,2.427573560965433,1.6006181325169724,4.822050638899853,2.2453822337483036,11.076434220512976,0.0,2.415584735128654,0.0,3.0054223693290236,2.9602762133308573,0.02243927249444333,5.2794359765762255,4.557615683657852,2.0920549332655867,4.149859549446305,0.38449611677868845,15.477073749484966,3.8060681111257004,0.0,3.088484233135617,5.126954163751609,3.278895083299803,0.0,9.581452305294924,4.439616260236894,2.8530689214137954
2008-10-14,4.107582065690934,1.5608900344586534,2.5947386697110986,1.4534878497210926,3.237604932745702,3.465146186941359,10.550832674185045,0.3479966665616807,1.4899034252622183,0.1994389835458268,2.9250808781051667,5.24564020019697,0.0,4.023721228232377,4.069401635932969,2.371908045151926,3.940153885914958,1.2319260088718504,14.537636865744384,2.873620502763787,0.0,3.0492766407403415,4.566489986577826,2.067002906827959,0.0,9.607268324624002,4.029933456300098,4.7387715994157205
