date,use,demand (TWh)
2025-09-13,"NTS Energy Offtaken, Industrial Offtake Total",0.028922897
2025-09-13,"NTS Energy Offtaken, LDZ Offtake Total",0.649804235
2025-09-13,"NTS Energy Offtaken, Powerstations Total",0.170173386
2025-09-12,"NTS Energy Offtaken, Industrial Offtake Total",0.027841636
2025-09-12,"NTS Energy Offtaken, LDZ Offtake Total",0.682407856
2025-09-12,"NTS Energy Offtaken, Powerstations Total",0.170658441
2025-09-11,"NTS Energy Offtaken, Industrial Offtake Total",0.027801686
2025-09-11,"NTS Energy Offtaken, LDZ Offtake Total",0.659167574
2025-09-11,"NTS Energy Offtaken, Powerstations Total",0.142800555
2025-09-10,"NTS Energy Offtaken, Industrial Offtake Total",0.028286604
2025-09-10,"NTS Energy Offtaken, LDZ Offtake Total",0.602793945
2025-09-10,"NTS Energy Offtaken, Powerstations Total",0.157524224
2025-09-09,"NTS Energy Offtaken, Industrial Offtake Total",0.029179724
2025-09-09,"NTS Energy Offtaken, LDZ Offtake Total",0.612763307
2025-09-09,"NTS Energy Offtaken, Powerstations Total",0.372148683
2025-09-08,"NTS Energy Offtaken, Industrial Offtake Total",0.02779541
2025-09-08,"NTS Energy Offtaken, LDZ Offtake Total",0.591449241
2025-09-08,"NTS Energy Offtaken, Powerstations Total",0.388507336
2025-09-07,"NTS Energy Offtaken, Industrial Offtake Total",0.027368522
2025-09-07,"NTS Energy Offtaken, LDZ Offtake Total",0.497909362
2025-09-07,"NTS Energy Offtaken, Powerstations Total",0.143858018
2025-09-06,"NTS Energy Offtaken, Industrial Offtake Total",0.0272271
2025-09-06,"NTS Energy Offtaken, LDZ Offtake Total",0.478366187
2025-09-06,"NTS Energy Offtaken, Powerstations Total",0.138982676
2025-09-05,"NTS Energy Offtaken, Industrial Offtake Total",0.030401938
2025-09-05,"NTS Energy Offtaken, LDZ Offtake Total",0.578956296
2025-09-05,"NTS Energy Offtaken, Powerstations Total",0.360775213
2025-09-04,"NTS Energy Offtaken, Industrial Offtake Total",0.030185121
2025-09-04,"NTS Energy Offtaken, LDZ Offtake Total",0.617442359
2025-09-04,"NTS Energy Offtaken, Powerstations Total",0.339051441
2025-09-03,"NTS Energy Offtaken, Industrial Offtake Total",0.028103918
2025-09-03,"NTS Energy Offtaken, LDZ Offtake Total",0.588081455
2025-09-03,"NTS Energy Offtaken, Powerstations Total",0.210300402
2025-09-02,"NTS Energy Offtaken, Industrial Offtake Total",0.031429927
2025-09-02,"NTS Energy Offtaken, LDZ Offtake Total",0.581986529
2025-09-02,"NTS Energy Offtaken, Powerstations Total",0.40005952
2025-09-01,"NTS Energy Offtaken, Industrial Offtake Total",0.024623037
2025-09-01,"NTS Energy Offtaken, LDZ Offtake Total",0.546006451
2025-09-01,"NTS Energy Offtaken, Powerstations Total",0.185061106
2025-08-31,"NTS Energy Offtaken, Industrial Offtake Total",0.025177327
2025-08-31,"NTS Energy Offtaken, LDZ Offtake Total",0.483029502
2025-08-31,"NTS Energy Offtaken, Powerstations Total",0.167186835
2025-08-30,"NTS Energy Offtaken, Industrial Offtake Total",0.022291054
2025-08-30,"NTS Energy Offtaken, LDZ Offtake Total",0.475593077
2025-08-30,"NTS Energy Offtaken, Powerstations Total",0.162023858
2025-08-29,"NTS Energy Offtaken, Industrial Offtake Total",0.029508647
2025-08-29,"NTS Energy Offtaken, LDZ Offtake Total",0.520672344
2025-08-29,"NTS Energy Offtaken, Powerstations Total",0.318395865
2025-08-28,"NTS Energy Offtaken, Industrial Offtake Total",0.028474092
2025-08-28,"NTS Energy Offtaken, LDZ Offtake Total",0.52163528
2025-08-28,"NTS Energy Offtaken, Powerstations Total",0.290245466
2025-08-27,"NTS Energy Offtaken, Industrial Offtake Total",0.029906309
2025-08-27,"NTS Energy Offtaken, LDZ Offtake Total",0.515386853
2025-08-27,"NTS Energy Offtaken, Powerstations Total",0.299099847
2025-08-26,"NTS Energy Offtaken, Industrial Offtake Total",0.030518592
2025-08-26,"NTS Energy Offtaken, LDZ Offtake Total",0.519348674
2025-08-26,"NTS Energy Offtaken, Powerstations Total",0.310925434
2025-08-25,"NTS Energy Offtaken, Industrial Offtake Total",0.028609767
2025-08-25,"NTS Energy Offtaken, LDZ Offtake Total",0.479626767
2025-08-25,"NTS Energy Offtaken, Powerstations Total",0.214566897
2025-08-24,"NTS Energy Offtaken, Industrial Offtake Total",0.030478812
2025-08-24,"NTS Energy Offtaken, LDZ Offtake Total",0.45908535
2025-08-24,"NTS Energy Offtaken, Powerstations Total",0.299798507
