date,use,demand (TWh)
2023-05-23,"NTS Energy Offtaken, Industrial Offtake Total",0.033909284
2023-05-23,"NTS Energy Offtaken, LDZ Offtake Total",0.680726884
2023-05-23,"NTS Energy Offtaken, Powerstations Total",0.47345352
2023-05-22,"NTS Energy Offtaken, Industrial Offtake Total",0.033861642
2023-05-22,"NTS Energy Offtaken, LDZ Offtake Total",0.681330474
2023-05-22,"NTS Energy Offtaken, Powerstations Total",0.376343225
2023-05-21,"NTS Energy Offtaken, Industrial Offtake Total",0.036055064
2023-05-21,"NTS Energy Offtaken, LDZ Offtake Total",0.63310312
2023-05-21,"NTS Energy Offtaken, Powerstations Total",0.277753085
2023-05-20,"NTS Energy Offtaken, Industrial Offtake Total",0.035340153
2023-05-20,"NTS Energy Offtaken, LDZ Offtake Total",0.631667057
2023-05-20,"NTS Energy Offtaken, Powerstations Total",0.251869034
2023-05-19,"NTS Energy Offtaken, Industrial Offtake Total",0.048557203
2023-05-19,"NTS Energy Offtaken, LDZ Offtake Total",0.731742835
2023-05-19,"NTS Energy Offtaken, Powerstations Total",0.524065372
2023-05-18,"NTS Energy Offtaken, Industrial Offtake Total",0.049570044
2023-05-18,"NTS Energy Offtaken, LDZ Offtake Total",0.721751032
2023-05-18,"NTS Energy Offtaken, Powerstations Total",0.536712611
2023-05-17,"NTS Energy Offtaken, Industrial Offtake Total",0.051598822
2023-05-17,"NTS Energy Offtaken, LDZ Offtake Total",0.767862865
2023-05-17,"NTS Energy Offtaken, Powerstations Total",0.599151639
2023-05-16,"NTS Energy Offtaken, Industrial Offtake Total",0.051483031
2023-05-16,"NTS Energy Offtaken, LDZ Offtake Total",0.829244459
2023-05-16,"NTS Energy Offtaken, Powerstations Total",0.474109906
2023-05-15,"NTS Energy Offtaken, Industrial Offtake Total",0.04995117
2023-05-15,"NTS Energy Offtaken, LDZ Offtake Total",0.815302118
2023-05-15,"NTS Energy Offtaken, Powerstations Total",0.375437085
2023-05-14,"NTS Energy Offtaken, Industrial Offtake Total",0.050036598
2023-05-14,"NTS Energy Offtaken, LDZ Offtake Total",0.770601292
2023-05-14,"NTS Energy Offtaken, Powerstations Total",0.389270645
2023-05-13,"NTS Energy Offtaken, Industrial Offtake Total",0.053454387
2023-05-13,"NTS Energy Offtaken, LDZ Offtake Total",0.861184429
2023-05-13,"NTS Energy Offtaken, Powerstations Total",0.386404183
2023-05-12,"NTS Energy Offtaken, Industrial Offtake Total",0.050998068
2023-05-12,"NTS Energy Offtaken, LDZ Offtake Total",0.932121694
2023-05-12,"NTS Energy Offtaken, Powerstations Total",0.42347599
2023-05-11,"NTS Energy Offtaken, Industrial Offtake Total",0.052467409
2023-05-11,"NTS Energy Offtaken, LDZ Offtake Total",0.821189057
2023-05-11,"NTS Energy Offtaken, Powerstations Total",0.678611638
2023-05-10,"NTS Energy Offtaken, Industrial Offtake Total",0.05272123
2023-05-10,"NTS Energy Offtaken, LDZ Offtake Total",0.827168923
2023-05-10,"NTS Energy Offtaken, Powerstations Total",0.657135137
2023-05-09,"NTS Energy Offtaken, Industrial Offtake Total",0.054838271
2023-05-09,"NTS Energy Offtaken, LDZ Offtake Total",0.806567452
2023-05-09,"NTS Energy Offtaken, Powerstations Total",0.629884274
2023-05-08,"NTS Energy Offtaken, Industrial Offtake Total",0.036610697
2023-05-08,"NTS Energy Offtaken, LDZ Offtake Total",0.826070331
2023-05-08,"NTS Energy Offtaken, Powerstations Total",0.397237193
2023-05-07,"NTS Energy Offtaken, Industrial Offtake Total",0.048701475
2023-05-07,"NTS Energy Offtaken, LDZ Offtake Total",0.697073902
2023-05-07,"NTS Energy Offtaken, Powerstations Total",0.343372287
2023-05-06,"NTS Energy Offtaken, Industrial Offtake Total",0.053971954
2023-05-06,"NTS Energy Offtaken, LDZ Offtake Total",0.803390099
2023-05-06,"NTS Energy Offtaken, Powerstations Total",0.483170925
2023-05-05,"NTS Energy Offtaken, Industrial Offtake Total",0.053787471
2023-05-05,"NTS Energy Offtaken, LDZ Offtake Total",0.86398158
2023-05-05,"NTS Energy Offtaken, Powerstations Total",0.546667897
2023-05-04,"NTS Energy Offtaken, Industrial Offtake Total",0.054096218
2023-05-04,"NTS Energy Offtaken, LDZ Offtake Total",1.016702384
2023-05-04,"NTS Energy Offtaken, Powerstations Total",0.293796281
2023-05-03,"NTS Energy Offtaken, Industrial Offtake Total",0.048391009
2023-05-03,"NTS Energy Offtaken, LDZ Offtake Total",0.974892647
2023-05-03,"NTS Energy Offtaken, Powerstations Total",0.41043067
2023-05-02,"NTS Energy Offtaken, Industrial Offtake Total",0.055195913
2023-05-02,"NTS Energy Offtaken, LDZ Offtake Total",1.00066025
2023-05-02,"NTS Energy Offtaken, Powerstations Total",0.68121606
2023-05-01,"NTS Energy Offtaken, Industrial Offtake Total",0.038004308
2023-05-01,"NTS Energy Offtaken, LDZ Offtake Total",0.913167115
2023-05-01,"NTS Energy Offtaken, Powerstations Total",0.451466951
2023-04-30,"NTS Energy Offtaken, Industrial Offtake Total",0.036725501
2023-04-30,"NTS Energy Offtaken, LDZ Offtake Total",0.91977277
2023-04-30,"NTS Energy Offtaken, Powerstations Total",0.359953812
2023-04-29,"NTS Energy Offtaken, Industrial Offtake Total",0.052571065
2023-04-29,"NTS Energy Offtaken, LDZ Offtake Total",0.955439171
2023-04-29,"NTS Energy Offtaken, Powerstations Total",0.528935371
2023-04-28,"NTS Energy Offtaken, Industrial Offtake Total",0.055278308
2023-04-28,"NTS Energy Offtaken, LDZ Offtake Total",1.180254836
2023-04-28,"NTS Energy Offtaken, Powerstations Total",0.632398121
2023-04-27,"NTS Energy Offtaken, Industrial Offtake Total",0.051393838
2023-04-27,"NTS Energy Offtaken, LDZ Offtake Total",1.446628499
2023-04-27,"NTS Energy Offtaken, Powerstations Total",0.570563464
2023-04-26,"NTS Energy Offtaken, Industrial Offtake Total",0.061999963
2023-04-26,"NTS Energy Offtaken, LDZ Offtake Total",1.400782821
2023-04-26,"NTS Energy Offtaken, Powerstations Total",0.747612773
2023-04-25,"NTS Energy Offtaken, Industrial Offtake Total",0.044452772
2023-04-25,"NTS Energy Offtaken, LDZ Offtake Total",1.399473354
2023-04-25,"NTS Energy Offtaken, Powerstations Total",0.691112389
2023-04-24,"NTS Energy Offtaken, Industrial Offtake Total",0.035079936
2023-04-24,"NTS Energy Offtaken, LDZ Offtake Total",1.400853241
2023-04-24,"NTS Energy Offtaken, Powerstations Total",0.522249359
2023-04-23,"NTS Energy Offtaken, Industrial Offtake Total",0.03382004
2023-04-23,"NTS Energy Offtaken, LDZ Offtake Total",1.182004576
2023-04-23,"NTS Energy Offtaken, Powerstations Total",0.340051278
2023-04-22,"NTS Energy Offtaken, Industrial Offtake Total",0.033853909
2023-04-22,"NTS Energy Offtaken, LDZ Offtake Total",1.177282943
2023-04-22,"NTS Energy Offtaken, Powerstations Total",0.414075977
2023-04-21,"NTS Energy Offtaken, Industrial Offtake Total",0.033998767
2023-04-21,"NTS Energy Offtaken, LDZ Offtake Total",1.352499322
2023-04-21,"NTS Energy Offtaken, Powerstations Total",0.496114679
2023-04-20,"NTS Energy Offtaken, Industrial Offtake Total",0.033530159
2023-04-20,"NTS Energy Offtaken, LDZ Offtake Total",1.224413782
2023-04-20,"NTS Energy Offtaken, Powerstations Total",0.367147623
2023-04-19,"NTS Energy Offtaken, Industrial Offtake Total",0.038701509
2023-04-19,"NTS Energy Offtaken, LDZ Offtake Total",1.208614398
2023-04-19,"NTS Energy Offtaken, Powerstations Total",0.280269915
2023-04-18,"NTS Energy Offtaken, Industrial Offtake Total",0.045863591
2023-04-18,"NTS Energy Offtaken, LDZ Offtake Total",1.206518516
2023-04-18,"NTS Energy Offtaken, Powerstations Total",0.357843799
2023-04-17,"NTS Energy Offtaken, Industrial Offtake Total",0.061166206
2023-04-17,"NTS Energy Offtaken, LDZ Offtake Total",1.145698754
2023-04-17,"NTS Energy Offtaken, Powerstations Total",0.692409997
2023-04-16,"NTS Energy Offtaken, Industrial Offtake Total",0.059239105
2023-04-16,"NTS Energy Offtaken, LDZ Offtake Total",1.169571279
2023-04-16,"NTS Energy Offtaken, Powerstations Total",0.581621109
2023-04-15,"NTS Energy Offtaken, Industrial Offtake Total",0.056397007
2023-04-15,"NTS Energy Offtaken, LDZ Offtake Total",1.237788357
2023-04-15,"NTS Energy Offtaken, Powerstations Total",0.467164484
2023-04-14,"NTS Energy Offtaken, Industrial Offtake Total",0.069314391
2023-04-14,"NTS Energy Offtaken, LDZ Offtake Total",1.575056288
2023-04-14,"NTS Energy Offtaken, Powerstations Total",0.749515171
2023-04-13,"NTS Energy Offtaken, Industrial Offtake Total",0.044269554
2023-04-13,"NTS Energy Offtaken, LDZ Offtake Total",1.478712896
2023-04-13,"NTS Energy Offtaken, Powerstations Total",0.486561638
2023-04-12,"NTS Energy Offtaken, Industrial Offtake Total",0.040571256
2023-04-12,"NTS Energy Offtaken, LDZ Offtake Total",1.625132361
2023-04-12,"NTS Energy Offtaken, Powerstations Total",0.285116026
2023-04-11,"NTS Energy Offtaken, Industrial Offtake Total",0.042106223
2023-04-11,"NTS Energy Offtaken, LDZ Offtake Total",1.451991664
2023-04-11,"NTS Energy Offtaken, Powerstations Total",0.344125891
2023-04-10,"NTS Energy Offtaken, Industrial Offtake Total",0.038426529
2023-04-10,"NTS Energy Offtaken, LDZ Offtake Total",1.183461408
2023-04-10,"NTS Energy Offtaken, Powerstations Total",0.151797014
2023-04-09,"NTS Energy Offtaken, Industrial Offtake Total",0.03452825
2023-04-09,"NTS Energy Offtaken, LDZ Offtake Total",1.095668406
2023-04-09,"NTS Energy Offtaken, Powerstations Total",0.286183721
2023-04-08,"NTS Energy Offtaken, Industrial Offtake Total",0.038234794
2023-04-08,"NTS Energy Offtaken, LDZ Offtake Total",1.107938787
2023-04-08,"NTS Energy Offtaken, Powerstations Total",0.451703083
2023-04-07,"NTS Energy Offtaken, Industrial Offtake Total",0.034436639
2023-04-07,"NTS Energy Offtaken, LDZ Offtake Total",1.197157665
2023-04-07,"NTS Energy Offtaken, Powerstations Total",0.553462042
2023-04-06,"NTS Energy Offtaken, Industrial Offtake Total",0.041768162
2023-04-06,"NTS Energy Offtaken, LDZ Offtake Total",1.327870363
2023-04-06,"NTS Energy Offtaken, Powerstations Total",0.540806512
2023-04-05,"NTS Energy Offtaken, Industrial Offtake Total",0.047706738
2023-04-05,"NTS Energy Offtaken, LDZ Offtake Total",1.099492304
2023-04-05,"NTS Energy Offtaken, Powerstations Total",0.68411852
2023-04-04,"NTS Energy Offtaken, Industrial Offtake Total",0.042397619
2023-04-04,"NTS Energy Offtaken, LDZ Offtake Total",1.44628281
2023-04-04,"NTS Energy Offtaken, Powerstations Total",0.628051867
2023-04-03,"NTS Energy Offtaken, Industrial Offtake Total",0.048047065
2023-04-03,"NTS Energy Offtaken, LDZ Offtake Total",1.537181565
2023-04-03,"NTS Energy Offtaken, Powerstations Total",0.523809151
2023-04-02,"NTS Energy Offtaken, Industrial Offtake Total",0.044419831
2023-04-02,"NTS Energy Offtaken, LDZ Offtake Total",1.460082522
2023-04-02,"NTS Energy Offtaken, Powerstations Total",0.453393869
2023-04-01,"NTS Energy Offtaken, Industrial Offtake Total",0.043992715
2023-04-01,"NTS Energy Offtaken, LDZ Offtake Total",1.4345734
2023-04-01,"NTS Energy Offtaken, Powerstations Total",0.332260454
2023-03-31,"NTS Energy Offtaken, Industrial Offtake Total",0.048477028
2023-03-31,"NTS Energy Offtaken, LDZ Offtake Total",1.390286776
2023-03-31,"NTS Energy Offtaken, Powerstations Total",0.403187048
2023-03-30,"NTS Energy Offtaken, Industrial Offtake Total",0.044034664
2023-03-30,"NTS Energy Offtaken, LDZ Offtake Total",1.276737488
2023-03-30,"NTS Energy Offtaken, Powerstations Total",0.327558481
2023-03-29,"NTS Energy Offtaken, Industrial Offtake Total",0.045093654
2023-03-29,"NTS Energy Offtaken, LDZ Offtake Total",1.498386386
2023-03-29,"NTS Energy Offtaken, Powerstations Total",0.399125007
2023-03-28,"NTS Energy Offtaken, Industrial Offtake Total",0.047084098
2023-03-28,"NTS Energy Offtaken, LDZ Offtake Total",1.833219857
2023-03-28,"NTS Energy Offtaken, Powerstations Total",0.455690514
2023-03-27,"NTS Energy Offtaken, Industrial Offtake Total",0.052677974
2023-03-27,"NTS Energy Offtaken, LDZ Offtake Total",1.623441654
2023-03-27,"NTS Energy Offtaken, Powerstations Total",0.635644077
2023-03-26,"NTS Energy Offtaken, Industrial Offtake Total",0.046309742
2023-03-26,"NTS Energy Offtaken, LDZ Offtake Total",1.595019723
2023-03-26,"NTS Energy Offtaken, Powerstations Total",0.336042667
2023-03-25,"NTS Energy Offtaken, Industrial Offtake Total",0.044675477
2023-03-25,"NTS Energy Offtaken, LDZ Offtake Total",1.340192637
2023-03-25,"NTS Energy Offtaken, Powerstations Total",0.276258976
2023-03-24,"NTS Energy Offtaken, Industrial Offtake Total",0.044586106
2023-03-24,"NTS Energy Offtaken, LDZ Offtake Total",1.406656922
2023-03-24,"NTS Energy Offtaken, Powerstations Total",0.137274181
2023-03-23,"NTS Energy Offtaken, Industrial Offtake Total",0.046931409
2023-03-23,"NTS Energy Offtaken, LDZ Offtake Total",1.427097609
2023-03-23,"NTS Energy Offtaken, Powerstations Total",0.217199488
2023-03-22,"NTS Energy Offtaken, Industrial Offtake Total",0.046332912
2023-03-22,"NTS Energy Offtaken, LDZ Offtake Total",1.38242105
2023-03-22,"NTS Energy Offtaken, Powerstations Total",0.205392985
2023-03-21,"NTS Energy Offtaken, Industrial Offtake Total",0.047579653
2023-03-21,"NTS Energy Offtaken, LDZ Offtake Total",1.396911761
2023-03-21,"NTS Energy Offtaken, Powerstations Total",0.304354194
2023-03-20,"NTS Energy Offtaken, Industrial Offtake Total",0.066298304
2023-03-20,"NTS Energy Offtaken, LDZ Offtake Total",1.576458808
2023-03-20,"NTS Energy Offtaken, Powerstations Total",0.557769345
2023-03-19,"NTS Energy Offtaken, Industrial Offtake Total",0.058662125
2023-03-19,"NTS Energy Offtaken, LDZ Offtake Total",1.468808294
2023-03-19,"NTS Energy Offtaken, Powerstations Total",0.480958137
2023-03-18,"NTS Energy Offtaken, Industrial Offtake Total",0.047251699
2023-03-18,"NTS Energy Offtaken, LDZ Offtake Total",1.288628849
2023-03-18,"NTS Energy Offtaken, Powerstations Total",0.409613887
2023-03-17,"NTS Energy Offtaken, Industrial Offtake Total",0.063929307
2023-03-17,"NTS Energy Offtaken, LDZ Offtake Total",1.417721655
2023-03-17,"NTS Energy Offtaken, Powerstations Total",0.549277736
2023-03-16,"NTS Energy Offtaken, Industrial Offtake Total",0.047157701
2023-03-16,"NTS Energy Offtaken, LDZ Offtake Total",1.692173077
2023-03-16,"NTS Energy Offtaken, Powerstations Total",0.297819322
2023-03-15,"NTS Energy Offtaken, Industrial Offtake Total",0.059083535
2023-03-15,"NTS Energy Offtaken, LDZ Offtake Total",2.120613099
2023-03-15,"NTS Energy Offtaken, Powerstations Total",0.608976456
2023-03-14,"NTS Energy Offtaken, Industrial Offtake Total",0.047466213
2023-03-14,"NTS Energy Offtaken, LDZ Offtake Total",1.991583309
2023-03-14,"NTS Energy Offtaken, Powerstations Total",0.477166337
2023-03-13,"NTS Energy Offtaken, Industrial Offtake Total",0.047049966
2023-03-13,"NTS Energy Offtaken, LDZ Offtake Total",1.646638462
2023-03-13,"NTS Energy Offtaken, Powerstations Total",0.188977436
2023-03-12,"NTS Energy Offtaken, Industrial Offtake Total",0.042924135
2023-03-12,"NTS Energy Offtaken, LDZ Offtake Total",1.66814008
2023-03-12,"NTS Energy Offtaken, Powerstations Total",0.173700805
2023-03-11,"NTS Energy Offtaken, Industrial Offtake Total",0.050798154
2023-03-11,"NTS Energy Offtaken, LDZ Offtake Total",2.094893226
2023-03-11,"NTS Energy Offtaken, Powerstations Total",0.490956882
2023-03-10,"NTS Energy Offtaken, Industrial Offtake Total",0.059023076
2023-03-10,"NTS Energy Offtaken, LDZ Offtake Total",2.303834241
2023-03-10,"NTS Energy Offtaken, Powerstations Total",0.645042321
2023-03-09,"NTS Energy Offtaken, Industrial Offtake Total",0.064746186
2023-03-09,"NTS Energy Offtaken, LDZ Offtake Total",2.417641711
2023-03-09,"NTS Energy Offtaken, Powerstations Total",0.574132186
2023-03-08,"NTS Energy Offtaken, Industrial Offtake Total",0.083152537
2023-03-08,"NTS Energy Offtaken, LDZ Offtake Total",2.519058114
2023-03-08,"NTS Energy Offtaken, Powerstations Total",0.769783755
2023-03-07,"NTS Energy Offtaken, Industrial Offtake Total",0.088414599
2023-03-07,"NTS Energy Offtaken, LDZ Offtake Total",2.217055502
2023-03-07,"NTS Energy Offtaken, Powerstations Total",0.890084078
2023-03-06,"NTS Energy Offtaken, Industrial Offtake Total",0.069537013
2023-03-06,"NTS Energy Offtaken, LDZ Offtake Total",2.114072784
2023-03-06,"NTS Energy Offtaken, Powerstations Total",0.838299217
2023-03-05,"NTS Energy Offtaken, Industrial Offtake Total",0.069894565
2023-03-05,"NTS Energy Offtaken, LDZ Offtake Total",2.056334192
2023-03-05,"NTS Energy Offtaken, Powerstations Total",0.801303676
2023-03-04,"NTS Energy Offtaken, Industrial Offtake Total",0.06553312
2023-03-04,"NTS Energy Offtaken, LDZ Offtake Total",2.003543356
2023-03-04,"NTS Energy Offtaken, Powerstations Total",0.76822046
2023-03-03,"NTS Energy Offtaken, Industrial Offtake Total",0.066802308
2023-03-03,"NTS Energy Offtaken, LDZ Offtake Total",2.127997742
2023-03-03,"NTS Energy Offtaken, Powerstations Total",0.889735149
2023-03-02,"NTS Energy Offtaken, Industrial Offtake Total",0.082781163
2023-03-02,"NTS Energy Offtaken, LDZ Offtake Total",2.025386956
2023-03-02,"NTS Energy Offtaken, Powerstations Total",0.957716327
2023-03-01,"NTS Energy Offtaken, Industrial Offtake Total",0.085463701
2023-03-01,"NTS Energy Offtaken, LDZ Offtake Total",2.09698455
2023-03-01,"NTS Energy Offtaken, Powerstations Total",0.903440331
2023-02-28,"NTS Energy Offtaken, Industrial Offtake Total",0.083754137
2023-02-28,"NTS Energy Offtaken, LDZ Offtake Total",2.143143314
2023-02-28,"NTS Energy Offtaken, Powerstations Total",0.938180759
2023-02-27,"NTS Energy Offtaken, Industrial Offtake Total",0.074067406
2023-02-27,"NTS Energy Offtaken, LDZ Offtake Total",2.151977809
2023-02-27,"NTS Energy Offtaken, Powerstations Total",0.919694341
2023-02-26,"NTS Energy Offtaken, Industrial Offtake Total",0.055272245
2023-02-26,"NTS Energy Offtaken, LDZ Offtake Total",1.999063974
2023-02-26,"NTS Energy Offtaken, Powerstations Total",0.569727871
2023-02-25,"NTS Energy Offtaken, Industrial Offtake Total",0.046590061
2023-02-25,"NTS Energy Offtaken, LDZ Offtake Total",1.978264043
2023-02-25,"NTS Energy Offtaken, Powerstations Total",0.374705507
2023-02-24,"NTS Energy Offtaken, Industrial Offtake Total",0.058933979
2023-02-24,"NTS Energy Offtaken, LDZ Offtake Total",1.916262744
2023-02-24,"NTS Energy Offtaken, Powerstations Total",0.4448614
2023-02-23,"NTS Energy Offtaken, Industrial Offtake Total",0.068223608
2023-02-23,"NTS Energy Offtaken, LDZ Offtake Total",1.932095801
2023-02-23,"NTS Energy Offtaken, Powerstations Total",0.587123674
2023-02-22,"NTS Energy Offtaken, Industrial Offtake Total",0.066943204
2023-02-22,"NTS Energy Offtaken, LDZ Offtake Total",1.776338212
2023-02-22,"NTS Energy Offtaken, Powerstations Total",0.690843043
2023-02-21,"NTS Energy Offtaken, Industrial Offtake Total",0.065854847
2023-02-21,"NTS Energy Offtaken, LDZ Offtake Total",1.619406962
2023-02-21,"NTS Energy Offtaken, Powerstations Total",0.698026972
2023-02-20,"NTS Energy Offtaken, Industrial Offtake Total",0.045768021
2023-02-20,"NTS Energy Offtaken, LDZ Offtake Total",1.572104072
2023-02-20,"NTS Energy Offtaken, Powerstations Total",0.389996962
2023-02-19,"NTS Energy Offtaken, Industrial Offtake Total",0.04653296
2023-02-19,"NTS Energy Offtaken, LDZ Offtake Total",1.464736808
2023-02-19,"NTS Energy Offtaken, Powerstations Total",0.277208975
2023-02-18,"NTS Energy Offtaken, Industrial Offtake Total",0.047348219
2023-02-18,"NTS Energy Offtaken, LDZ Offtake Total",1.431864456
2023-02-18,"NTS Energy Offtaken, Powerstations Total",0.223822928
2023-02-17,"NTS Energy Offtaken, Industrial Offtake Total",0.045189269
2023-02-17,"NTS Energy Offtaken, LDZ Offtake Total",1.491947925
2023-02-17,"NTS Energy Offtaken, Powerstations Total",0.281988262
2023-02-16,"NTS Energy Offtaken, Industrial Offtake Total",0.043465935
2023-02-16,"NTS Energy Offtaken, LDZ Offtake Total",1.679813538
2023-02-16,"NTS Energy Offtaken, Powerstations Total",0.469776051
2023-02-15,"NTS Energy Offtaken, Industrial Offtake Total",0.042790668
2023-02-15,"NTS Energy Offtaken, LDZ Offtake Total",1.813501503
2023-02-15,"NTS Energy Offtaken, Powerstations Total",0.490529674
2023-02-14,"NTS Energy Offtaken, Industrial Offtake Total",0.060999043
2023-02-14,"NTS Energy Offtaken, LDZ Offtake Total",1.96220926
2023-02-14,"NTS Energy Offtaken, Powerstations Total",0.614821046
2023-02-13,"NTS Energy Offtaken, Industrial Offtake Total",0.06851706
2023-02-13,"NTS Energy Offtaken, LDZ Offtake Total",1.836964106
2023-02-13,"NTS Energy Offtaken, Powerstations Total",0.738833829
2023-02-12,"NTS Energy Offtaken, Industrial Offtake Total",0.048633769
2023-02-12,"NTS Energy Offtaken, LDZ Offtake Total",1.735007455
2023-02-12,"NTS Energy Offtaken, Powerstations Total",0.597330788
2023-02-11,"NTS Energy Offtaken, Industrial Offtake Total",0.052969211
2023-02-11,"NTS Energy Offtaken, LDZ Offtake Total",1.699788246
2023-02-11,"NTS Energy Offtaken, Powerstations Total",0.521703388
2023-02-10,"NTS Energy Offtaken, Industrial Offtake Total",0.052227484
2023-02-10,"NTS Energy Offtaken, LDZ Offtake Total",2.08323715
2023-02-10,"NTS Energy Offtaken, Powerstations Total",0.431454566
2023-02-09,"NTS Energy Offtaken, Industrial Offtake Total",0.05829916
2023-02-09,"NTS Energy Offtaken, LDZ Offtake Total",2.138261918
2023-02-09,"NTS Energy Offtaken, Powerstations Total",0.596748862
2023-02-08,"NTS Energy Offtaken, Industrial Offtake Total",0.051014625
2023-02-08,"NTS Energy Offtaken, LDZ Offtake Total",2.222055922
2023-02-08,"NTS Energy Offtaken, Powerstations Total",0.568028053
2023-02-07,"NTS Energy Offtaken, Industrial Offtake Total",0.080913176
2023-02-07,"NTS Energy Offtaken, LDZ Offtake Total",2.216292165
2023-02-07,"NTS Energy Offtaken, Powerstations Total",0.79519244
2023-02-06,"NTS Energy Offtaken, Industrial Offtake Total",0.069468085
2023-02-06,"NTS Energy Offtaken, LDZ Offtake Total",2.156640226
2023-02-06,"NTS Energy Offtaken, Powerstations Total",0.745523067
2023-02-05,"NTS Energy Offtaken, Industrial Offtake Total",0.061744838
2023-02-05,"NTS Energy Offtaken, LDZ Offtake Total",1.920876978
2023-02-05,"NTS Energy Offtaken, Powerstations Total",0.375523488
2023-02-04,"NTS Energy Offtaken, Industrial Offtake Total",0.062013976
2023-02-04,"NTS Energy Offtaken, LDZ Offtake Total",1.654871881
2023-02-04,"NTS Energy Offtaken, Powerstations Total",0.299255157
2023-02-03,"NTS Energy Offtaken, Industrial Offtake Total",0.067278978
2023-02-03,"NTS Energy Offtaken, LDZ Offtake Total",1.684532285
2023-02-03,"NTS Energy Offtaken, Powerstations Total",0.300635973
2023-02-02,"NTS Energy Offtaken, Industrial Offtake Total",0.060783611
2023-02-02,"NTS Energy Offtaken, LDZ Offtake Total",1.838901032
2023-02-02,"NTS Energy Offtaken, Powerstations Total",0.316128637
2023-02-01,"NTS Energy Offtaken, Industrial Offtake Total",0.058081754
2023-02-01,"NTS Energy Offtaken, LDZ Offtake Total",2.036640279
2023-02-01,"NTS Energy Offtaken, Powerstations Total",0.208046094
2023-01-31,"NTS Energy Offtaken, Industrial Offtake Total",0.059855055
2023-01-31,"NTS Energy Offtaken, LDZ Offtake Total",1.993797272
2023-01-31,"NTS Energy Offtaken, Powerstations Total",0.31434534
2023-01-30,"NTS Energy Offtaken, Industrial Offtake Total",0.070016972
2023-01-30,"NTS Energy Offtaken, LDZ Offtake Total",2.012723326
2023-01-30,"NTS Energy Offtaken, Powerstations Total",0.478665707
2023-01-29,"NTS Energy Offtaken, Industrial Offtake Total",0.057526634
2023-01-29,"NTS Energy Offtaken, LDZ Offtake Total",1.959573073
2023-01-29,"NTS Energy Offtaken, Powerstations Total",0.199104468
2023-01-28,"NTS Energy Offtaken, Industrial Offtake Total",0.065079884
2023-01-28,"NTS Energy Offtaken, LDZ Offtake Total",2.068292159
2023-01-28,"NTS Energy Offtaken, Powerstations Total",0.685647208
2023-01-27,"NTS Energy Offtaken, Industrial Offtake Total",0.079768402
2023-01-27,"NTS Energy Offtaken, LDZ Offtake Total",2.253503287
2023-01-27,"NTS Energy Offtaken, Powerstations Total",0.8579334
2023-01-26,"NTS Energy Offtaken, Industrial Offtake Total",0.075685374
2023-01-26,"NTS Energy Offtaken, LDZ Offtake Total",2.279489216
2023-01-26,"NTS Energy Offtaken, Powerstations Total",0.769695734
2023-01-25,"NTS Energy Offtaken, Industrial Offtake Total",0.07755673
2023-01-25,"NTS Energy Offtaken, LDZ Offtake Total",2.346503802
2023-01-25,"NTS Energy Offtaken, Powerstations Total",0.786214684
2023-01-24,"NTS Energy Offtaken, Industrial Offtake Total",0.067353022
2023-01-24,"NTS Energy Offtaken, LDZ Offtake Total",2.418515197
2023-01-24,"NTS Energy Offtaken, Powerstations Total",0.927804768
2023-01-23,"NTS Energy Offtaken, Industrial Offtake Total",0.066888494
2023-01-23,"NTS Energy Offtaken, LDZ Offtake Total",2.555462732
2023-01-23,"NTS Energy Offtaken, Powerstations Total",0.911198024
2023-01-22,"NTS Energy Offtaken, Industrial Offtake Total",0.069479678
2023-01-22,"NTS Energy Offtaken, LDZ Offtake Total",2.537029583
2023-01-22,"NTS Energy Offtaken, Powerstations Total",0.624082634
2023-01-21,"NTS Energy Offtaken, Industrial Offtake Total",0.063255623
2023-01-21,"NTS Energy Offtaken, LDZ Offtake Total",2.487283402
2023-01-21,"NTS Energy Offtaken, Powerstations Total",0.511063276
2023-01-20,"NTS Energy Offtaken, Industrial Offtake Total",0.079647721
2023-01-20,"NTS Energy Offtaken, LDZ Offtake Total",2.519684647
2023-01-20,"NTS Energy Offtaken, Powerstations Total",0.745197131
2023-01-19,"NTS Energy Offtaken, Industrial Offtake Total",0.079259622
2023-01-19,"NTS Energy Offtaken, LDZ Offtake Total",2.63714256
2023-01-19,"NTS Energy Offtaken, Powerstations Total",0.793346082
2023-01-18,"NTS Energy Offtaken, Industrial Offtake Total",0.066037527
2023-01-18,"NTS Energy Offtaken, LDZ Offtake Total",2.630944408
2023-01-18,"NTS Energy Offtaken, Powerstations Total",0.659420947
2023-01-17,"NTS Energy Offtaken, Industrial Offtake Total",0.077453754
2023-01-17,"NTS Energy Offtaken, LDZ Offtake Total",2.717428422
2023-01-17,"NTS Energy Offtaken, Powerstations Total",0.678136411
2023-01-16,"NTS Energy Offtaken, Industrial Offtake Total",0.060384435
2023-01-16,"NTS Energy Offtaken, LDZ Offtake Total",2.43463405
2023-01-16,"NTS Energy Offtaken, Powerstations Total",0.626584923
2023-01-15,"NTS Energy Offtaken, Industrial Offtake Total",0.062548356
2023-01-15,"NTS Energy Offtaken, LDZ Offtake Total",2.069328851
2023-01-15,"NTS Energy Offtaken, Powerstations Total",0.335466372
2023-01-14,"NTS Energy Offtaken, Industrial Offtake Total",0.055873354
